"","lon","lat"
"1",-97.72818,30.533542
"2",-97.76494,30.244008
"3",-97.902485,30.236578
"4",-97.8054776,30.1734887
"5",-97.842223,30.185529
"6",-97.6597645,30.5066782
"7",-97.7448315,30.2892678
"8",-97.8567758,30.518141
"9",-97.725246,30.514266
"10",-97.7688988,30.4379851
"11",-97.874585,30.32471
"12",-97.65632,30.5218532
"13",-97.7269771,30.3249219
"14",-97.850279,30.204261
"15",-97.754801,30.312926
"16",-97.849754,30.462786
"17",-97.67927,30.4041
"18",-97.755891,30.178178
"19",-97.767315,30.30638
"20",-97.867087,30.2024185
"21",-97.66419,30.548512
"22",-97.757468,30.298838
"23",-97.846942,30.20712
"24",-97.765483,30.241405
"25",-97.7476457,30.254098
"26",-97.709283,30.513588
"27",-97.6389172,30.4970775
"28",-97.768276,30.210578
"29",-97.7133212,30.2800001
"30",-97.907242,30.377738
"31",-97.7512553,30.288023
"32",-98.067054,29.949474
"33",-97.734098,30.3038199
"34",-97.7894305,30.2390465
"35",-97.730473,30.422999
"36",-97.88311,30.209707
"37",-97.920346,30.176525
"38",-97.7035779,30.290491
"39",-97.774801,30.284949
"40",-97.760401,30.343629
"41",-97.747859,30.284184
"42",-97.790288,30.204007
"43",-97.758926,30.343872
"44",-97.9968848,30.172739
"45",-97.6123999,30.5581124
"46",-97.981089,30.1888771
"47",-97.751392,30.24755
"48",-97.7991082,30.2533465
"49",-97.747531,30.36855
"50",-97.8109302,30.3276039
"51",-97.776585,30.421143
"52",-97.843252,30.198785
"53",-97.7338577,30.3147014
"54",-97.942407,30.197725
"55",-97.6947107,30.4097398
"56",-97.889715,30.137082
"57",-97.7318954,30.3589148
"58",-97.782805,30.202018
"59",-97.7258262,30.2272601
"60",-97.7389543,30.2961708
"61",-97.7845025,30.238215
"62",-97.74554,30.342578
"63",-97.7221129,30.360893
"64",-97.862443,30.226303
"65",-97.758172,30.438314
"66",-97.725819,30.225391
"67",-97.7459328,30.2895333
"68",-97.827218,30.242367
"69",-97.7675178,30.2310788
"70",-97.694453,30.272873
"71",-97.822402,30.194739
"72",-97.8418403,30.4195433
"73",-97.747194,30.2845551
"74",-97.833076,30.304658
"75",-97.7347807,30.2993747
"76",-97.762917,30.205539
"77",-97.749795,30.359265
"78",-97.981498,30.2108196
"79",-97.7395763,30.3259758
"80",-97.7424972,30.2907563
"81",-97.7745886,30.2619277
"82",-97.6826389,30.2810565
"83",-97.836603,30.199954
"84",-97.691434,30.419593
"85",-97.7785945,30.2138263
"86",-97.687892,30.29569
"87",-97.8555679,30.3013028
"88",-97.87793,30.282739
"89",-97.699582,30.4068615
"90",-97.755605,30.3924334
"91",-97.7133701,30.2354802
"92",-97.7400484,30.3039919
"93",-97.849524,30.22917
"94",-97.7460016,30.2243838
"95",-97.7562405,30.403931
"96",-97.722114,30.225614
"97",-97.7485307,30.4033255
"98",-97.7220111,30.3142896
"99",-97.723,30.310065
"100",-97.8287852,30.1625936
